user_id,session_id,date_activity,event_name,is_retained_day30
U-2001,ses_f05e53,2026-03-01,play_song,0
U-2001,ses_f05e53,2026-03-01,open_app,0
U-2001,ses_f05e53,2026-03-01,add_to_favorites,0
U-2001,ses_f05e53,2026-03-01,play_song,0
U-2001,ses_710550,2026-03-03,search_music,0
U-2001,ses_710550,2026-03-03,play_song,0
U-2001,ses_710550,2026-03-03,play_song,0
U-2001,ses_710550,2026-03-03,open_app,0
U-2002,ses_d03869,2026-03-01,search_music,0
U-2002,ses_d03869,2026-03-01,open_app,0
U-2002,ses_d03869,2026-03-01,play_song,0
U-2002,ses_d03869,2026-03-01,play_song,0
U-2002,ses_d03869,2026-03-01,play_song,0
U-2002,ses_d03869,2026-03-01,add_to_favorites,0
U-2002,ses_d80365,2026-03-02,play_song,0
U-2002,ses_d80365,2026-03-02,play_song,0
U-2002,ses_d80365,2026-03-02,open_app,0
U-2002,ses_d80365,2026-03-02,search_music,0
U-2002,ses_d80365,2026-03-02,open_app,0
U-2002,ses_d80365,2026-03-02,play_song,0
U-2002,ses_d80365,2026-03-02,play_song,0
U-2003,ses_67fa64,2026-03-02,search_music,0
U-2003,ses_67fa64,2026-03-02,play_song,0
U-2003,ses_67fa64,2026-03-02,play_song,0
U-2003,ses_67fa64,2026-03-02,play_song,0
U-2003,ses_67fa64,2026-03-02,open_app,0
U-2003,ses_67fa64,2026-03-02,search_music,0
U-2003,ses_67fa64,2026-03-02,share_song,0
U-2003,ses_67fa64,2026-03-02,search_music,0
U-2004,ses_5fb555,2026-03-01,search_music,0
U-2004,ses_5fb555,2026-03-01,add_to_favorites,0
U-2004,ses_5fb555,2026-03-01,play_song,0
U-2004,ses_5fb555,2026-03-01,open_app,0
U-2004,ses_5fb555,2026-03-01,play_song,0
U-2004,ses_5fb555,2026-03-01,play_song,0
U-2004,ses_5fb555,2026-03-01,play_song,0
U-2004,ses_5fb555,2026-03-01,search_music,0
U-2005,ses_614660,2026-03-04,play_song,1
U-2005,ses_614660,2026-03-04,play_song,1
U-2005,ses_614660,2026-03-04,play_song,1
U-2005,ses_614660,2026-03-04,add_to_favorites,1
U-2005,ses_614660,2026-03-04,play_song,1
U-2005,ses_614660,2026-03-04,search_music,1
U-2005,ses_614660,2026-03-04,add_to_favorites,1
U-2005,ses_7191d8,2026-03-05,add_to_favorites,1
U-2005,ses_7191d8,2026-03-05,play_song,1
U-2005,ses_7191d8,2026-03-05,create_playlist,1
U-2005,ses_7191d8,2026-03-05,share_song,1
U-2005,ses_7191d8,2026-03-05,search_music,1
U-2005,ses_7191d8,2026-03-05,search_music,1
U-2005,ses_7191d8,2026-03-05,play_song,1
U-2005,ses_7191d8,2026-03-05,create_playlist,1
U-2005,ses_6b9c0a,2026-03-07,create_playlist,1
U-2005,ses_6b9c0a,2026-03-07,add_to_favorites,1
U-2005,ses_6b9c0a,2026-03-07,play_song,1
U-2005,ses_6b9c0a,2026-03-07,search_music,1
U-2005,ses_6b9c0a,2026-03-07,play_song,1
U-2005,ses_6b9c0a,2026-03-07,add_to_favorites,1
U-2005,ses_6b9c0a,2026-03-07,play_song,1
U-2005,ses_6b9c0a,2026-03-07,play_song,1
U-2005,ses_b33bb6,2026-03-08,play_song,1
U-2005,ses_b33bb6,2026-03-08,create_playlist,1
U-2005,ses_b33bb6,2026-03-08,open_app,1
U-2005,ses_f2f306,2026-03-09,play_song,1
U-2005,ses_f2f306,2026-03-09,create_playlist,1
U-2005,ses_f2f306,2026-03-09,search_music,1
U-2005,ses_f2f306,2026-03-09,search_music,1
U-2005,ses_f2f306,2026-03-09,add_to_favorites,1
U-2005,ses_4a1d2b,2026-03-12,play_song,1
U-2005,ses_4a1d2b,2026-03-12,play_song,1
U-2005,ses_4a1d2b,2026-03-12,add_to_favorites,1
U-2005,ses_4a1d2b,2026-03-12,add_to_favorites,1
U-2005,ses_4a1d2b,2026-03-12,share_song,1
U-2005,ses_da8d02,2026-03-13,search_music,1
U-2005,ses_da8d02,2026-03-13,create_playlist,1
U-2005,ses_da8d02,2026-03-13,share_song,1
U-2005,ses_da8d02,2026-03-13,create_playlist,1
U-2005,ses_da8d02,2026-03-13,create_playlist,1
U-2005,ses_da8d02,2026-03-13,add_to_favorites,1
U-2005,ses_da8d02,2026-03-13,play_song,1
U-2005,ses_da8d02,2026-03-13,search_music,1
U-2005,ses_5b6edf,2026-03-15,add_to_favorites,1
U-2005,ses_5b6edf,2026-03-15,play_song,1
U-2005,ses_5b6edf,2026-03-15,create_playlist,1
U-2005,ses_5b6edf,2026-03-15,create_playlist,1
U-2005,ses_5b6edf,2026-03-15,play_song,1
U-2005,ses_5b6edf,2026-03-15,open_app,1
U-2005,ses_5b6edf,2026-03-15,play_song,1
U-2005,ses_5b6edf,2026-03-15,play_song,1
U-2005,ses_5b6edf,2026-03-15,search_music,1
U-2005,ses_5b6edf,2026-03-15,play_song,1
U-2005,ses_26652a,2026-03-16,create_playlist,1
U-2005,ses_26652a,2026-03-16,play_song,1
U-2005,ses_26652a,2026-03-16,create_playlist,1
U-2005,ses_26652a,2026-03-16,play_song,1
U-2005,ses_26652a,2026-03-16,play_song,1
U-2005,ses_26652a,2026-03-16,play_song,1
U-2005,ses_26652a,2026-03-16,create_playlist,1
U-2005,ses_937f66,2026-03-17,search_music,1
U-2005,ses_937f66,2026-03-17,search_music,1
U-2005,ses_937f66,2026-03-17,play_song,1
U-2005,ses_937f66,2026-03-17,create_playlist,1
U-2005,ses_937f66,2026-03-17,share_song,1
U-2005,ses_f9c8e0,2026-03-18,play_song,1
U-2005,ses_f9c8e0,2026-03-18,play_song,1
U-2005,ses_f9c8e0,2026-03-18,create_playlist,1
U-2005,ses_f9c8e0,2026-03-18,play_song,1
U-2005,ses_f9c8e0,2026-03-18,play_song,1
U-2005,ses_f9c8e0,2026-03-18,create_playlist,1
U-2005,ses_f9c8e0,2026-03-18,open_app,1
U-2005,ses_f9c8e0,2026-03-18,create_playlist,1
U-2005,ses_f9c8e0,2026-03-18,share_song,1
U-2005,ses_f9c8e0,2026-03-18,add_to_favorites,1
U-2005,ses_393faf,2026-03-20,add_to_favorites,1
U-2005,ses_393faf,2026-03-20,search_music,1
U-2005,ses_393faf,2026-03-20,share_song,1
U-2005,ses_393faf,2026-03-20,open_app,1
U-2005,ses_393faf,2026-03-20,add_to_favorites,1
U-2005,ses_b6aa4c,2026-03-21,create_playlist,1
U-2005,ses_b6aa4c,2026-03-21,open_app,1
U-2005,ses_b6aa4c,2026-03-21,create_playlist,1
U-2005,ses_b6aa4c,2026-03-21,add_to_favorites,1
U-2005,ses_b6aa4c,2026-03-21,search_music,1
U-2005,ses_2e0101,2026-03-22,add_to_favorites,1
U-2005,ses_2e0101,2026-03-22,play_song,1
U-2005,ses_2e0101,2026-03-22,open_app,1
U-2005,ses_2e0101,2026-03-22,play_song,1
U-2005,ses_2e0101,2026-03-22,create_playlist,1
U-2005,ses_2e0101,2026-03-22,play_song,1
U-2005,ses_2e0101,2026-03-22,open_app,1
U-2005,ses_2e0101,2026-03-22,play_song,1
U-2005,ses_e8a178,2026-03-24,play_song,1
U-2005,ses_e8a178,2026-03-24,open_app,1
U-2005,ses_e8a178,2026-03-24,add_to_favorites,1
U-2005,ses_e8a178,2026-03-24,play_song,1
U-2005,ses_e8a178,2026-03-24,play_song,1
U-2005,ses_e8a178,2026-03-24,add_to_favorites,1
U-2007,ses_e9fcf0,2026-03-03,open_app,0
U-2007,ses_e9fcf0,2026-03-03,add_to_favorites,0
U-2007,ses_e9fcf0,2026-03-03,play_song,0
U-2007,ses_e9fcf0,2026-03-03,open_app,0
U-2007,ses_e9fcf0,2026-03-03,search_music,0
